CROYDONMAQ INDUSTRIAL LTDA
SALDO DE MAQUINAS EM ESTOQUE EM 11/09/2013   HORA: 11:16:55
S I G L A          ;DESCRICAO                                    ;  SALDO
MCSS-20543-651     ;MAQ. CASQ. SORVETE SIMPLES 1200W 220V CERT.  ;      6
MIB-07JT    B1     ;MODULO INOX BANHO MARIA                      ;      1
MPED-10662-650     ;MAQUINA P/PANQUECA DUPLA 3200W 127V TOP      ;      2
MPED-20663-650     ;MAQUINA P/PANQUECA DUPLA 3200W 220V TOP      ;      3
MPES-10553-650     ;MAQUINA P/PANQUECA SIMPLES - 127V            ;     13
MPES-20554-650     ;MAQUINA P/PANQUECA SIMPLES - 220V            ;      2
MPGS-G0718-605     ;MAQUINA P/PANQUECA SIMPLES A GAS             ;     38
MRCGT10AS-2 A0     ;UND CONDENSADORA TGM 10.000BTU MRCGT10AS     ;      2
MRCGT18AS-2 A0     ;UND CONDENSADORA TGM 18.000 BTU MRCGT18AS    ;      3
MWCGT10S-2  A0     ;UND EVAPORADORA TGM 10.000BTU MWCGT10S       ;      1
MWCGT12S-2  A0     ;UND EVAPORADORA TGM 12.000 BTU MWCGT12S      ;      2
MWCGT18S-2  A0     ;UND EVAPORADORA TGM 18.000 BTU MWCGT18S      ;      3
MWQD-20545-651     ;MAQUINA WAFLEIRA QUADRADA DUPLA 4000W 220V CE;      1
MWQS-10546-651     ;MAQ. WAFLEIRA QUADRADA SIMPLES 127V - CERTIF ;      5
MWQS-20661-651     ;MAQ. WAFLEIRA QUADRADA SIMPLES 220V - CERTIF ;     13
MWRD-10547-650     ;MAQUINA WAFLEIRA REDONDA DUPLA 3400W 127V CER;      1
MWRD-20548-651     ;MAQUINA WAFLEIRA REDONDA DUPLA 3600W 220V - C;      2
MWRS-10549-671     ;MAQ. WAFLEIRA REDONDA SIMPLES 1700W 127V - CE;      1
MWRS-20550-651     ;MAQ. WAFLEIRA REDONDA SIMPLES 1800W 220V - CE;      6
RACO-26571-652     ;REFRESQUEIRA 1 DEP.1158W 220V 60HZ - CERT.   ;      3
RDCO-16565-651     ;REFRESQUEIRA DUPLA 775W 127V - CERTIF.       ;     23
RDCO-26566-652     ;REFRESQUEIRA DUPLA 775W 220V - CERTIF.       ;      7
RSDJ-16365-653     ;REFRES. SLIM AZUL DUPLA JATO 1002W 127V 60HZ ;     17
RSDJ-26368-651     ;REFRES. SLIM AZUL DUPLA JATO 1006W 220V 60HZ ;      1
RSDM-16374-651     ;REFRES. SLIM AZUL DUPLA MIS. 910,5 127V/60HZ ;      2
RSDM-26378-651     ;REFRE. SLIM AZUL DUPLA MISTA 914,5W 220V 60HZ;      7
RSDP-16391-651     ;REFRESQ. SLIM AZUL DUPLA PA 819W 127V 60HZ - ;     30
RSDP-26395-652     ;REFRESQ. SLIM AZUL DUPLA PA 816W 220V 60HZ - ;      5
RSSJ-16370-653     ;REFRES. SLIM AZUL SIMPLES JATO 552W 127V 60HZ;      2
RSSJ-26372-651     ;REFRESQ. SLIM AZUL SIMP. JATO 552W 220V 60HZ-;     15
RSSP-16396-651     ;REFRESQ. SLIM AZUL SIMP. PA 460,5W 127V 60HZ-;      3
RSSP-26398-651     ;REFRESQ. SLIM AZUL SIMP. PA 460,5W 220V 60HZ-;     21
S1D0-A0456-600     ;FOGAO 1B DUPLO ESTAMPADO                     ;      2
S2S0-A0459-600     ;FOGAO 2B SIMPLES ESTAMPADO                   ;      2
S4MB-A0492-600     ;FOGAO 4B MISTO C/ BANHO MARIA ESTAMPADO      ;      2
S4MC-A0493-600     ;FOGAO 4B MISTO C/ CHAPA ESTAMPADO            ;      8
